,0
795,-79.0
796,-73.0
797,-73.0
798,-76.0
799,-79.0
800,-56.0
801,-79.0
802,-79.0
803,-79.0
804,-79.0
805,-68.0
806,-68.0
807,-73.0
808,-54.0
809,-72.0
810,-47.0
811,-70.0
812,-68.0
813,-74.0
814,-79.0
815,-73.0
816,-73.0
817,-76.0
818,-79.0
819,-55.0
820,-79.0
821,-78.0
822,-79.0
823,-79.0
824,-68.0
825,-67.0
826,-73.0
827,-54.0
828,-73.0
829,-47.0
830,-70.0
831,-68.0
832,-75.0
833,-79.0
834,-73.0
835,-73.0
836,-76.0
837,-79.0
838,-55.0
839,-79.0
840,-78.0
841,-79.0
842,-79.0
843,-68.0
844,-68.0
845,-73.0
846,-54.0
847,-73.0
848,-48.0
849,-70.0
850,-68.0
851,-75.0
852,-79.0
853,-73.0
854,-73.0
855,-76.0
856,-79.0
857,-55.0
858,-79.0
859,-78.0
860,-79.0
861,-79.0
862,-68.0
863,-68.0
864,-73.0
865,-54.0
866,-73.0
867,-48.0
868,-70.0
869,-68.0
870,-74.0
871,-79.0
872,-73.0
873,-73.0
874,-76.0
875,-79.0
876,-54.0
877,-79.0
878,-79.0
879,-79.0
880,-79.0
881,-68.0
882,-69.0
883,-73.0
884,-54.0
885,-73.0
886,-48.0
887,-70.0
888,-68.0
889,-75.0
890,-79.0
891,-73.0
892,-73.0
893,-76.0
894,-79.0
895,-55.0
896,-79.0
897,-79.0
898,-79.0
899,-79.0
900,-68.0
901,-68.0
902,-73.0
903,-54.0
904,-73.0
905,-49.0
906,-70.0
907,-68.0
908,-76.0
909,-79.0
910,-73.0
911,-73.0
912,-76.0
913,-79.0
914,-55.0
915,-79.0
916,-79.0
917,-79.0
918,-79.0
919,-68.0
920,-67.0
921,-73.0
922,-54.0
923,-73.0
924,-49.0
925,-70.0
926,-68.0
927,-75.0
928,-79.0
929,-73.0
930,-73.0
931,-76.0
932,-79.0
933,-54.0
934,-79.0
935,-78.0
936,-79.0
937,-79.0
938,-68.0
939,-67.0
940,-54.0
941,-73.0
942,-50.0
943,-68.0
944,-67.0
945,-75.0
946,-79.0
947,-73.0
948,-73.0
949,-76.0
950,-79.0
951,-54.0
952,-79.0
953,-78.0
954,-79.0
955,-79.0
956,-69.0
957,-68.0
958,-54.0
959,-73.0
960,-49.0
961,-68.0
962,-67.0
963,-76.0
964,-79.0
965,-71.0
966,-74.0
967,-76.0
968,-79.0
969,-54.0
970,-79.0
971,-78.0
972,-79.0
973,-79.0
974,-69.0
975,-68.0
976,-54.0
977,-72.0
978,-50.0
979,-68.0
980,-67.0
981,-76.0
982,-79.0
983,-71.0
984,-74.0
985,-76.0
986,-79.0
987,-53.0
988,-79.0
989,-78.0
990,-79.0
991,-79.0
992,-69.0
993,-68.0
994,-54.0
995,-72.0
996,-50.0
997,-67.0
998,-67.0
999,-77.0
1000,-79.0
1001,-71.0
1002,-74.0
1003,-76.0
1004,-79.0
1005,-53.0
1006,-79.0
1007,-77.0
1008,-79.0
1009,-79.0
1010,-69.0
1011,-68.0
1012,-54.0
1013,-73.0
1014,-50.0
1015,-67.0
1016,-67.0
1017,-76.0
1018,-79.0
1019,-71.0
1020,-74.0
1021,-78.0
